pergunta_normalizada,cod_2023_2024,header_2023_2024,cod_2024_2025,header_2024_2025,cod_2025_2026,header_2025_2026,codigo_estavel
ambientes_de_desenvolvimento_local_r_studio_jupyterlab_anaconda,8.c.3,"('P8_c_3 ', 'Ambientes de desenvolvimento local (R-studio, JupyterLab, Anaconda)')",8.c.3,"8.c.3_Ambientes de desenvolvimento local (R-studio, JupyterLab, Anaconda).",8.c.3,"8.c.3_Ambientes de desenvolvimento local (R-studio, JupyterLab, Anaconda).",sim
ambientes_de_desenvolvimento_na_nuvem_google_colab_aws_sagemaker_kaggle_notebooks_etc,8.c.4,"('P8_c_4 ', 'Ambientes de desenvolvimento na nuvem (Google Colab, AWS Sagemaker, Kaggle Notebooks etc)')",8.c.4,"8.c.4_Ambientes de desenvolvimento na nuvem (Google Colab, AWS Sagemaker, Kaggle Notebooks etc).",8.c.4,"8.c.4_Ambientes de desenvolvimento na nuvem (Google Colab, AWS Sagemaker, Kaggle Notebooks etc).",sim
analista_de_business_intelligence_bi,3.b.6,"('P3_b_6 ', 'Analista de Business Intelligence/BI')",3.b.6,3.b.6_Analista de Business Intelligence/BI,3.b.6,3.b.6_Analista de Business Intelligence/BI,sim
analista_de_dados_data_analyst,3.b.3,"('P3_b_3 ', 'Analista de Dados/Data Analyst')",3.b.3,3.b.3_Analista de Dados/Data Analyst,3.b.3,3.b.3_Analista de Dados/Data Analyst,sim
analytics_engineer,3.b.1,"('P3_b_1 ', 'Analytics Engineer')",3.b.1,3.b.1_Analytics Engineer,3.b.1,3.b.1_Analytics Engineer,sim
apache_airflow,6.b.3,"('P6_b_3 ', 'Apache Airflow')",6.b.3,6.b.3_Apache Airflow,6.b.3,6.b.3_Apache Airflow,sim
apache_nifi,6.b.4,"('P6_b_4 ', 'Apache NiFi')",6.b.4,6.b.4_Apache NiFi,6.b.4,6.b.4_Apache NiFi,sim
aprovacao_em_processos_seletivos_entrevistas,1.f.3,"('P1_f_3', 'Aprovação em processos seletivos/entrevistas')",1.f.3,1.f.3_Aprovação em processos seletivos/entrevistas,1.f.3,1.f.3_Aprovação em processos seletivos/entrevistas,sim
area_de_formacao,1.m,"('P1_m ', 'Área de Formação')",1.m,1.m_área_de_formação,1.m,1.m_área_de_formação,sim
arquiteto_de_dados_data_architect,3.b.7,"('P3_b_7 ', 'Arquiteto de Dados/Data Architect')",3.b.7,3.b.7_Arquiteto de Dados/Data Architect,3.b.7,3.b.7_Arquiteto de Dados/Data Architect,sim
aspectos_prejudicados,1.f,"('P1_f ', 'aspectos_prejudicados')",1.f,1.f_aspectos_prejudicados,1.f,1.f_aspectos_prejudicados,sim
atuando_na_integracao_de_diferentes_fontes_de_dados_atraves_de_plataformas_proprietarias_como_stitch_data_fivetran_etc,6.h.4,"('P6_h_4 ', 'Atuando na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.')",6.h.4,"6.h.4_Atuando na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.",6.h.4,"6.h.4_Atuando na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.",sim
atuo_na_integracao_de_diferentes_fontes_de_dados_atraves_de_plataformas_proprietarias_como_stitch_data_fivetran_etc,6.a.4,"('P6_a_4 ', 'Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.')",6.a.4,"6.a.4_Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.",6.a.4,"6.a.4_Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.",sim
atuo_na_modelagem_dos_dados_com_o_objetivo_de_criar_conjuntos_de_dados_como_data_warehouses_data_marts_etc,6.a.7,"('P6_a_7 ', 'Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.')",7.a.7,"7.a.7_Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.",7.a.7,"7.a.7_Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.",NAO
audios,4.b.6,"('P4_b_6 ', 'Áudios')",4.b.6,4.b.6_Áudios,4.b.6,4.b.6_Áudios,sim
aws_glue,6.b.6,"('P6_b_6 ', 'AWS Glue')",6.b.6,6.b.6_AWS Glue,6.b.6,6.b.6_AWS Glue,sim
azure_microsoft,4.h.1,"('P4_h_1 ', 'Azure (Microsoft)')",4.h.3,4.h.3_Azure (Microsoft),4.e.3,4.e.3_Azure (Microsoft),NAO
beneficios,2.o.2,"('P2_o_2 ', 'Benefícios')",2.l.2,2.l.2_Benefícios,2.l.2,2.l.2_Benefícios,NAO
business_analyst,3.b.9,"('P3_b_9 ', 'Business Analyst')",3.b.9,3.b.9_Business Analyst,3.b.9,3.b.9_Business Analyst,sim
c_c_c,4.d.4,"('P4_d_4 ', 'C/C++/C#')",4.d.4,4.d.4_C/C++/C#,4.c.4,4.c.4_C/C++/C#,NAO
cargo_atual,2.f,"('P2_f ', 'Cargo Atual')",2.f,2.f_cargo_atual,2.f,2.f_cargo_atual,sim
cargo_como_gestor,2.e,"('P2_e ', 'Cargo como Gestor')",2.e,2.e_cargo_como_gestor,2.e,2.e_cargo_como_gestor,sim
cassandra,4.g.7,"('P4_g_7 ', 'Cassandra')",4.g.7,4.g.7_Cassandra,4.d.7,4.d.7_Cassandra,NAO
cientista_de_dados_data_scientist,3.b.4,"('P3_b_4 ', 'Cientista de Dados/Data Scientist')",3.b.4,3.b.4_Cientista de Dados/Data Scientist,3.b.4,3.b.4_Cientista de Dados/Data Scientist,sim
cloud_preferida,4.i,"('P4_i ', 'Cloud preferida')",4.i,4.i_cloud_preferida,4.f,4.f_cloud_preferida,NAO
cloud_propria,4.h.7,"('P4_h_7 ', 'Cloud Própria')",4.h.7,4.h.7_Cloud Própria,4.e.7,4.e.7_Cloud Própria,NAO
coachdb,4.g.6,"('P4_g_6 ', 'CoachDB')",4.g.6,4.g.6_CoachDB,4.d.6,4.d.6_CoachDB,NAO
colaboradores_usando_ai_generativa_de_forma_independente_e_descentralizada,3.f.1,"('P3_f_1 ', 'Colaboradores usando AI generativa de forma independente e descentralizada')",3.f.1,3.f.1 Colaboradores usando AI generativa de forma independente e descentralizada,3.f.1,3.f.1 Colaboradores usando AI generativa de forma independente e descentralizada,sim
colocando_modelos_em_producao_criando_os_pipelines_de_dados_apis_de_consumo_e_monitoramento,8.d.5,"('P8_d_5 ', 'Colocando modelos em produção, criando os pipelines de dados, APIs de consumo e monitoramento.')",8.d.5,"8.d.5_Colocando modelos em produção, criando os pipelines de dados, APIs de consumo e monitoramento.",8.d.5,"8.d.5_Colocando modelos em produção, criando os pipelines de dados, APIs de consumo e monitoramento.",sim
cor_raca_etnia,1.c,"('P1_c ', 'Cor/raca/etnia')",1.c,1.c_cor/raca/etnia,1.c,1.c_cor/raca/etnia,sim
criando_consultas_atraves_da_linguagem_sql_para_exportar_informacoes_e_compartilhar_com_as_areas_de_negocio,6.h.3,"('P6_h_3 ', 'Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')",6.h.3,6.h.3_Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,6.h.3,6.h.3_Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,sim
criando_e_dando_manutencao_em_etls_dags_e_automacoes_de_pipelines_de_dados,8.d.9,"('P8_d_9 ', 'Criando e dando manutenção em ETLs, DAGs e automações de pipelines de dados.')",8.d.9,"8.d.9_Criando e dando manutenção em ETLs, DAGs e automações de pipelines de dados.",8.d.9,"8.d.9_Criando e dando manutenção em ETLs, DAGs e automações de pipelines de dados.",sim
criando_e_gerenciando_solucoes_de_feature_store_e_cultura_de_mlops,8.d.10,"('P8_d_10 ', 'Criando e gerenciando soluções de Feature Store e cultura de MLOps.')",8.d.10,8.d.10_Criando e gerenciando soluções de Feature Store e cultura de MLOps.,8.d.10,8.d.10_Criando e gerenciando soluções de Feature Store e cultura de MLOps.,sim
criando_e_mantendo_a_infra_que_meus_modelos_e_solucoes_rodam_clusters_servidores_api_containers_etc,8.d.11,"('P8_d_11 ', 'Criando e mantendo a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)')",8.d.11,"8.d.11_Criando e mantendo a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)",8.d.11,"8.d.11_Criando e mantendo a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)",sim
crio_consultas_atraves_da_linguagem_sql_para_exportar_informacoes_e_compartilhar_com_as_areas_de_negocio,6.a.3,"('P6_a_3 ', 'Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')",6.a.3,6.a.3_Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,6.a.3,6.a.3_Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,sim
crio_e_dou_manutencao_em_etls_dags_e_automacoes_de_pipelines_de_dados,8.a.9,"('P8_a_9 ', 'Crio e dou manutenção em ETLs, DAGs e automações de pipelines de dados.')",8.a.9,"8.a.9_Crio e dou manutenção em ETLs, DAGs e automações de pipelines de dados.",8.a.9,"8.a.9_Crio e dou manutenção em ETLs, DAGs e automações de pipelines de dados.",sim
crio_e_gerencio_solucoes_de_feature_store_e_cultura_de_mlops,8.a.10,"('P8_a_10 ', 'Crio e gerencio soluções de Feature Store e cultura de MLOps.')",8.a.10,8.a.10_Crio e gerencio soluções de Feature Store e cultura de MLOps.,8.a.10,8.a.10_Crio e gerencio soluções de Feature Store e cultura de MLOps.,sim
cuidando_da_manutencao_de_modelos_de_machine_learning_ja_em_producao_atuando_no_monitoramento_ajustes_e_refatoracao_quando_necessario,8.d.6,"('P8_d_6 ', 'Cuidando da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.')",8.d.6,"8.d.6_Cuidando da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.",8.d.6,"8.d.6_Cuidando da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.",sim
cuidando_da_qualidade_dos_dados_metadados_e_dicionario_de_dados,6.h.8,"('P6_h_8 ', 'Cuidando da qualidade dos dados, metadados e dicionário de dados.')",6.h.8,"6.h.8_Cuidando da qualidade dos dados, metadados e dicionário de dados.",6.h.8,"6.h.8_Cuidando da qualidade dos dados, metadados e dicionário de dados.",sim
cuido_da_manutencao_de_modelos_de_machine_learning_ja_em_producao_atuando_no_monitoramento_ajustes_e_refatoracao_quando_necessario,8.a.6,"('P8_a_6 ', 'Cuido da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.')",8.a.6,"8.a.6_Cuido da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.",8.a.6,"8.a.6_Cuido da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.",sim
cuido_da_qualidade_dos_dados_metadados_e_dicionario_de_dados,6.a.8,"('P6_a_8 ', 'Cuido da qualidade dos dados, metadados e dicionário de dados.')",6.a.8,"6.a.8_Cuido da qualidade dos dados, metadados e dicionário de dados.",6.a.8,"6.a.8_Cuido da qualidade dos dados, metadados e dicionário de dados.",sim
dados_armazenados_em_bancos_nosql,4.b.2,"('P4_b_2 ', 'Dados armazenados em bancos NoSQL')",4.b.2,4.b.2_Dados armazenados em bancos NoSQL,4.b.2,4.b.2_Dados armazenados em bancos NoSQL,sim
dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,3.g.6,"('P3_g_6 ', 'Dados da empresa não estão prontos para uso de IA Generativa')",3.g.6,3.g.6 Dados da empresa não estão prontos para uso de IA Generativa,3.h.6,3.h.6 Dados da empresa não estão prontos para uso de IA Generativa,NAO
dados_georeferenciados,4.b.8,"('P4_b_8 ', 'Dados georeferenciados')",4.b.8,4.b.8_Dados georeferenciados,4.b.8,4.b.8_Dados georeferenciados,sim
dados_relacionais_estruturados_em_bancos_sql,4.b.1,"('P4_b_1 ', 'Dados relacionais (estruturados em bancos SQL)')",4.b.1,4.b.1_Dados relacionais (estruturados em bancos SQL),4.b.1,4.b.1_Dados relacionais (estruturados em bancos SQL),sim
data_product_manager_dpm,3.b.8,"('P3_b_8 ', 'Data Product Manager/DPM')",3.b.8,3.b.8_Data Product Manager/DPM,3.b.8,3.b.8_Data Product Manager/DPM,sim
database_administrator_dba,3.b.5,"('P3_b_5 ', 'Database Administrator/DBA')",3.b.5,3.b.5_Database Administrator/DBA,3.b.5,3.b.5_Database Administrator/DBA,sim
databricks,4.g.27,"('P4_g_27 ', 'Databricks')",4.g.27,4.g.27_Databricks,4.d.27,4.d.27_Databricks,NAO
datomic,4.g.10,"('P4_g_10 ', 'Datomic')",4.g.10,4.g.10_Datomic,4.d.10,4.d.10_Datomic,NAO
db2,4.g.14,"('P4_g_14 ', 'DB2')",4.g.14,4.g.14_DB2,4.d.14,4.d.14_DB2,NAO
desenvolvedores_utilizando_copilots,3.f.3,"('P3_f_3 ', 'Desenvolvedores utilizando Copilots')",3.f.3,3.f.3 Desenvolvedores utilizando Copilots,3.f.3,3.f.3 Desenvolvedores utilizando Copilots,sim
desenvolvendo_cuidando_da_manutencao_de_etl_s_utilizando_tecnologias_como_talend_pentaho_airflow_dataflow_etc,7.d.6,"('P7_d_6 ', 'Desenvolvendo/cuidando da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.')",7.d.6,"7.d.6_Desenvolvendo/cuidando da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.",7.d.6,"7.d.6_Desenvolvendo/cuidando da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.",sim
desenvolvendo_cuidando_da_manutencao_de_repositorios_de_dados_baseados_em_streaming_de_eventos_como_data_lakes_e_data_lakehouses,6.h.6,"('P6_h_6 ', 'Desenvolvendo/cuidando da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.')",6.h.6,6.h.6_Desenvolvendo/cuidando da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.,6.h.6,6.h.6_Desenvolvendo/cuidando da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.,sim
desenvolvendo_modelos_de_machine_learning_com_o_objetivo_de_colocar_em_producao_em_sistemas_produtos_de_dados,8.d.4,"('P8_d_4 ', 'Desenvolvendo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).')",8.d.4,8.d.4_Desenvolvendo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).,8.d.4,8.d.4_Desenvolvendo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).,sim
desenvolvendo_pipelines_de_dados_utilizando_linguagens_de_programacao_como_python_scala_java_etc,6.h.1,"('P6_h_1 ', 'Desenvolvendo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.')",6.h.1,"6.h.1_Desenvolvendo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.",6.h.1,"6.h.1_Desenvolvendo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.",sim
desenvolvo_cuido_da_manutencao_de_etl_s_utilizando_tecnologias_como_talend_pentaho_airflow_dataflow_etc,7.a.6,"('P7_a_6 ', 'Desenvolvo/cuido da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.')",7.a.6,"7.a.6_Desenvolvo/cuido da manutenção de ETL\s utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.",7.a.6,"7.a.6_Desenvolvo/cuido da manutenção de ETL\s utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.",sim
desenvolvo_cuido_da_manutencao_de_planilhas_para_atender_as_areas_de_negocio,7.a.8,"('P7_a_8 ', 'Desenvolvo/cuido da manutenção de planilhas para atender as áreas de negócio.')",7.a.8,7.a.8_Desenvolvo/cuido da manutenção de planilhas para atender as áreas de negócio.,7.a.8,7.a.8_Desenvolvo/cuido da manutenção de planilhas para atender as áreas de negócio.,sim
desenvolvo_cuido_da_manutencao_de_repositorios_de_dados_baseados_em_streaming_de_eventos_como_data_lakes_e_data_lakehouses,6.a.6,"('P6_a_6 ', 'Desenvolvo/cuido da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.')",6.a.6,6.a.6_Desenvolvo/cuido da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.,6.a.6,6.a.6_Desenvolvo/cuido da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.,sim
desenvolvo_modelos_de_machine_learning_com_o_objetivo_de_colocar_em_producao_em_sistemas_produtos_de_dados,8.a.4,"('P8_a_4 ', 'Desenvolvo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).')",8.a.4,8.a.4_Desenvolvo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).,8.a.4,8.a.4_Desenvolvo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).,sim
desenvolvo_pipelines_de_dados_utilizando_linguagens_de_programacao_como_python_scala_java_etc,6.a.1,"('P6_a_1 ', 'Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.')",6.a.1,"6.a.1_Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.",6.a.1,"6.a.1_Desenvolvo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.",sim
desenvolvo_sistemas_de_recomendacao_recsys,8.b.3,"('P8_b_3 ', 'Desenvolvo sistemas de recomendação (RecSys)')",8.b.3,8.b.3_Desenvolvo sistemas de recomendação (RecSys).,8.b.3,8.b.3_Desenvolvo sistemas de recomendação (RecSys).,sim
desenvolvo_tecnicas_de_clusterizacao_k_means_spectral_dbscan_etc,8.b.8,"('P8_b_8 ', 'Desenvolvo técnicas de Clusterização (K-means, Spectral, DBScan etc)')",8.b.8,"8.b.8_Desenvolvo técnicas de Clusterização (K-means, Spectral, DBScan etc).",8.b.8,"8.b.8_Desenvolvo técnicas de Clusterização (K-means, Spectral, DBScan etc).",sim
direcionamento_centralizado_do_uso_de_ai_generativa,3.f.2,"('P3_f_2 ', 'Direcionamento centralizado do uso de AI generativa')",3.f.2,3.f.2 Direcionamento centralizado do uso de AI generativa,3.f.2,3.f.2 Direcionamento centralizado do uso de AI generativa,sim
dividir_o_tempo_entre_entregas_tecnicas_e_gestao,3.d.14,"('P3_d_14 ', 'Dividir o tempo entre entregas técnicas e gestão.')",3.d.14,3.d.14_Dividir o tempo entre entregas técnicas e gestão,3.d.14,3.d.14_Dividir o tempo entre entregas técnicas e gestão,sim
dynamodb,4.g.5,"('P4_g_5 ', 'DynamoDB')",4.g.5,4.g.5_DynamoDB,4.d.5,4.d.5_DynamoDB,NAO
elasticsearch,4.g.13,"('P4_g_13 ', 'ElasticSearch')",4.g.13,4.g.13_ElasticSearch,4.d.13,4.d.13_ElasticSearch,NAO
engenharia_de_dados_data_engineer,3.b.2,"('P3_b_2 ', 'Engenharia de Dados/Data Engineer')",3.b.2,3.b.2_Engenharia de Dados/Data Engineer,3.b.2,3.b.2_Engenharia de Dados/Data Engineer,sim
entrando_em_contato_com_os_times_de_negocio_para_definicao_do_problema_identificar_a_solucao_e_apresentacao_de_resultados,8.d.3,"('P8_d_3 ', 'Entrando em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.')",8.d.3,"8.d.3_Entrando em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.",8.d.3,"8.d.3_Entrando em contato com os times de negócio para definição do problema, identificar a solução e apresentação de resultados.",sim
estado_onde_mora,1.i,"('P1_i ', 'Estado onde mora')",1.i,1.i_estado_onde_mora,1.i,1.i_estado_onde_mora,sim
estudos_ad_hoc_com_o_objetivo_de_confirmar_hipoteses_realizar_modelos_preditivos_forecasts_analise_de_cluster_para_resolver_problemas_pontuais_e_responder_perguntas_das_areas_de_negocio,8.a.1,"('P8_a_1 ', 'Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.')",8.a.1,"8.a.1_Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.",8.a.1,"8.a.1_Estudos Ad-hoc com o objetivo de confirmar hipóteses, realizar modelos preditivos, forecasts, análise de cluster para resolver problemas pontuais e responder perguntas das áreas de negócio.",sim
experiencia_profissional_prejudicada,1.e,"('P1_e ', 'experiencia_profissional_prejudicada')",1.e,1.e_experiencia_profissional_prejudicada,1.e,1.e_experiencia_profissional_prejudicada,sim
faixa_idade,1.a.1,"('P1_a_1 ', 'Faixa idade')",1.a.1,1.a.1_faixa_idade,1.a.1,1.a.1_faixa_idade,sim
faixa_salarial,2.h,"('P2_h ', 'Faixa salarial')",2.h,2.h_faixa_salarial,2.h,2.h_faixa_salarial,sim
falta_de_compreensao_dos_casos_de_uso,3.g.1,"('P3_g_1 ', 'Falta de compreensão dos casos de uso')",3.g.1,3.g.1 Falta de compreensão dos casos de uso,3.h.1,3.h.1 Falta de compreensão dos casos de uso,NAO
falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,3.g.2,"('P3_g_2 ', 'Falta de confiabilidade das saídas (alucinação dos modelos)')",3.g.2,3.g.2 Falta de confiabilidade das saídas (alucinação dos modelos),3.h.2,3.h.2 Falta de confiabilidade das saídas (alucinação dos modelos),NAO
falta_de_expertise_ou_falta_de_recursos,3.g.7,"('P3_g_7 ', 'Falta de expertise ou falta de recursos')",3.g.7,3.g.7 Falta de expertise ou falta de recursos,3.h.7,3.h.7 Falta de expertise ou falta de recursos,NAO
fazemos_todas_as_analises_utilizando_apenas_excel_ou_planilhas_do_google,4.j.22,"('P4_j_22 ', 'Fazemos todas as análises utilizando apenas Excel ou planilhas do google')",4.j.17,4.j.17_Fazemos todas as análises utilizando apenas Excel ou planilhas do google,4.g.17,4.g.17_Fazemos todas as análises utilizando apenas Excel ou planilhas do google,NAO
feature_store_feast_hopsworks_aws_feature_store_databricks_feature_store_etc,8.c.8,"('P8_c_8 ', 'Feature Store (Feast, Hopsworks, AWS Feature Store, Databricks Feature Store etc)')",8.c.8,"8.c.8_Feature Store (Feast, Hopsworks, AWS Feature Store, Databricks Feature Store etc).",8.c.8,"8.c.8_Feature Store (Feast, Hopsworks, AWS Feature Store, Databricks Feature Store etc).",sim
ferramentas_de_analise_dentro_de_ferramentas_de_crm_como_salesforce_einstein_anaytics_ou_zendesk_dashboards,7.c.4,"('P7_c_4 ', 'Ferramentas de análise dentro de ferramentas de CRM como Salesforce Einstein Anaytics ou Zendesk dashboards.')",7.c.4,7.c.4_Ferramentas de análise dentro de ferramentas de CRM como Salesforce Einstein Anaytics ou Zendesk dashboards.,7.c.4,7.c.4_Ferramentas de análise dentro de ferramentas de CRM como Salesforce Einstein Anaytics ou Zendesk dashboards.,sim
ferramentas_de_automl_como_h2o_ai_data_robot_bigml_etc,7.c.1,"('P7_c_1 ', 'Ferramentas de AutoML como H2O.ai, Data Robot, BigML etc.')",7.c.1,"7.c.1_Ferramentas de AutoML como H2O.ai, Data Robot, BigML etc.",7.c.1,"7.c.1_Ferramentas de AutoML como H2O.ai, Data Robot, BigML etc.",sim
ferramentas_de_automl_datarobot_h2o_auto_keras_etc,8.c.5,"('P8_c_5 ', 'Ferramentas de AutoML (Datarobot, H2O, Auto-Keras etc)')",8.c.5,"8.c.5_Ferramentas de AutoML (Datarobot, H2O, Auto-Keras etc).",8.c.5,"8.c.5_Ferramentas de AutoML (Datarobot, H2O, Auto-Keras etc).",sim
ferramentas_de_bi_powerbi_looker_tableau_qlik_etc,8.c.1,"('P8_c_1 ', 'Ferramentas de BI (PowerBI, Looker, Tableau, Qlik etc)')",8.c.1,"8.c.1_Ferramentas de BI (PowerBI, Looker, Tableau, Qlik etc).",8.c.1,"8.c.1_Ferramentas de BI (PowerBI, Looker, Tableau, Qlik etc).",sim
ferramentas_de_estatistica_avancada_como_spss_sas_etc,8.c.11,"('P8_c_11 ', 'Ferramentas de estatística avançada como SPSS, SAS, etc.')",8.c.11,"8.c.11_Ferramentas de estatística avançada como SPSS, SAS, etc.",8.c.11,"8.c.11_Ferramentas de estatística avançada como SPSS, SAS, etc.",sim
ferramentas_de_etl_apache_airflow_nifi_stitch_fivetran_pentaho_etc,8.c.6,"('P8_c_6 ', 'Ferramentas de ETL (Apache Airflow, NiFi, Stitch, Fivetran, Pentaho etc)')",8.c.6,"8.c.6_Ferramentas de ETL (Apache Airflow, NiFi, Stitch, Fivetran, Pentaho etc).",8.c.6,"8.c.6_Ferramentas de ETL (Apache Airflow, NiFi, Stitch, Fivetran, Pentaho etc).",sim
